phrog_phrog	annot
phrog_215	structural protein with Ig domain
phrog_216	integrase
phrog_217	holin
phrog_218	head closure
phrog_219	baseplate wedge subunit
phrog_220	minor head protein and DNA pilot
phrog_221	metallo-phosphoesterase
phrog_222	tail completion or Neck1 protein
phrog_223	DNA polymerase processivity factor
phrog_224	single strand DNA binding protein
phrog_225	clamp loader of DNA polymerase
phrog_226	minor tail protein
phrog_227	tail sheath stabilizer
phrog_228	Arc-like repressor
phrog_229	MazG-like pyrophosphatase
phrog_230	baseplate tail tube cap
phrog_231	UvsY-like recombination mediator
phrog_232	baseplate wedge subunit
phrog_233	head scaffolding protein
phrog_234	late sigma transcription factor
phrog_235	NA
phrog_236	nucleotide kinase
phrog_237	head scaffolding protein
phrog_238	major tail protein
phrog_239	DNA primase/helicase
phrog_240	head protein
phrog_241	head morphogenesis
phrog_242	translation repressor
phrog_243	DnaB-like replicative helicase
phrog_244	RusA-like Holliday junction resolvase
phrog_245	anti-repressor Ant
phrog_246	NinI-like serine-threonine phosphatase
phrog_247	major head protein
phrog_248	transcriptional activator
phrog_249	porphyrin biosynthesis
phrog_250	NA
phrog_251	MokW-like host killing
phrog_252	Bet-like ssDNA annealing protein
phrog_253	Mu Gam-like end protection
phrog_254	late promoter transcriptional regulator
phrog_255	exonuclease
phrog_256	DNA helicase
phrog_257	minor tail protein
phrog_258	virulence associated
phrog_259	gam-like host nuclease inhibitor
phrog_260	Bor-like outer membrane protein
phrog_261	baseplate wedge subunit
phrog_262	DNA polymerase
phrog_263	holin
phrog_264	major head protein
phrog_265	replication initiation protein
phrog_266	NA
phrog_267	major head protein
phrog_268	NA
phrog_269	DNA helicase loader
phrog_270	replication initiation protein
phrog_271	anti-termination protein N-like
phrog_272	Cox-like excisionase and repressor
phrog_273	NA
phrog_274	DNA endonuclease V
phrog_275	NA
phrog_276	NA
phrog_277	replication initiation O-like
phrog_278	transcriptional regulator
phrog_279	tail sheath
phrog_280	virion structural protein
phrog_281	PAAR motif of membran proteins
phrog_282	NA
phrog_283	major head protein
phrog_284	exonuclease
phrog_285	NA
phrog_286	NA
phrog_287	minor tail protein
phrog_288	NA
phrog_289	GTP-binding domain
phrog_290	minor tail protein
phrog_291	endolysin
phrog_292	NA
phrog_293	ABC transporter
phrog_294	Kil protein for bacterial septation inhibition
phrog_295	tail fiber protein
phrog_296	DNA transposition protein
phrog_297	holin
phrog_298	exonuclease
phrog_299	NA
phrog_300	tail fiber protein
phrog_301	secreted protein
phrog_302	virion structural protein
phrog_303	NA
phrog_304	anti-termination protein Q-like
phrog_305	tail length tape measure protein
phrog_306	minor head protein Ace-like
phrog_307	endonuclease VII
phrog_308	internal virion protein
phrog_309	terminase small subunit
phrog_310	transposase
phrog_311	NA
phrog_312	Rz-like spanin
phrog_313	Tail assembly chaperone
phrog_314	homing endonuclease
phrog_315	endolysin
phrog_316	dihydrofolate reductase
phrog_317	endolysin
phrog_318	deoxyribonucleoside 5' monophosphate phosphatase
phrog_319	NinB/ Orf homologous recombination mediator
phrog_320	head closure Hc1
phrog_321	tail completion or Neck1 protein
phrog_322	NA
phrog_323	transcriptional regulator, D5-like
phrog_324	head morphogenesis
phrog_325	Dda-like helicase
phrog_326	tail protein with endopeptidase domain
phrog_327	tail protein
phrog_328	head maturation protease
phrog_329	minor tail protein
phrog_330	tail assembly chaperone
phrog_331	NA
phrog_332	head-tail adaptor
phrog_333	HNH endonuclease
phrog_334	major head protein
phrog_335	phosphatase
phrog_336	NA
phrog_337	tail protein
phrog_338	HNH endonuclease
phrog_339	tail length tape measure protein
phrog_340	NA
phrog_341	major tail protein
