phrog_phrog	annot
phrog_13366	NA
phrog_13367	NA
phrog_13368	NA
phrog_13369	NA
phrog_13370	NA
phrog_13371	NA
phrog_13372	NA
phrog_13373	NA
phrog_13374	NA
phrog_13375	NA
phrog_13376	NA
phrog_13377	virion structural protein
phrog_13378	NA
phrog_13379	NA
phrog_13380	NA
phrog_13381	NA
phrog_13382	transmembrane protein
phrog_13383	NA
phrog_13384	NA
phrog_13385	NA
phrog_13386	NA
phrog_13387	NA
phrog_13388	tail collar fiber protein
phrog_13389	NA
phrog_13390	NA
phrog_13391	NA
phrog_13392	endolysin
phrog_13393	NA
phrog_13394	NA
phrog_13395	NA
phrog_13396	NA
phrog_13397	NA
phrog_13398	NA
phrog_13399	NA
phrog_13400	NA
phrog_13401	NA
phrog_13402	NA
phrog_13403	NA
phrog_13404	holin
phrog_13405	membrane protein
phrog_13406	NA
phrog_13407	NA
phrog_13408	NA
phrog_13409	NA
phrog_13410	NA
phrog_13411	MazF-like growth inhibitor
phrog_13412	NA
phrog_13413	NA
phrog_13414	NA
phrog_13415	NA
phrog_13416	NA
phrog_13417	NA
phrog_13418	NA
phrog_13419	NA
phrog_13420	NA
phrog_13421	NA
phrog_13422	NA
phrog_13423	exonuclease
phrog_13424	NA
phrog_13425	NA
phrog_13426	NA
phrog_13427	NA
phrog_13428	NA
phrog_13429	NA
phrog_13430	NA
phrog_13431	virion structural protein
phrog_13432	NA
phrog_13433	NA
phrog_13434	NA
phrog_13435	NA
phrog_13436	NA
phrog_13437	NA
phrog_13438	tail tube protein
phrog_13439	NA
phrog_13440	NA
phrog_13441	NA
phrog_13442	NA
phrog_13443	NA
phrog_13444	NA
phrog_13445	NA
phrog_13446	NA
phrog_13447	NA
phrog_13448	NA
phrog_13449	transglycosylase
phrog_13450	NA
phrog_13451	NA
phrog_13452	NA
phrog_13453	nuclease
phrog_13454	NA
phrog_13455	NA
phrog_13456	NA
phrog_13457	NA
phrog_13458	NA
phrog_13459	NA
phrog_13460	NA
phrog_13461	NA
phrog_13462	NA
phrog_13463	endolysin
phrog_13464	NA
phrog_13465	NA
phrog_13466	membrane protein
phrog_13467	NA
phrog_13468	NA
phrog_13469	NA
phrog_13470	HNH endonuclease
phrog_13471	NA
phrog_13472	NA
phrog_13473	NA
phrog_13474	NA
phrog_13475	NA
phrog_13476	NA
phrog_13477	NA
phrog_13478	NA
phrog_13479	tail fiber protein
phrog_13480	endolysin
phrog_13481	tail fiber protein
phrog_13482	NA
phrog_13483	NA
phrog_13484	virion structural protein
phrog_13485	NA
phrog_13486	NA
phrog_13487	NA
phrog_13488	NA
phrog_13489	NA
phrog_13490	NA
phrog_13491	NA
phrog_13492	NA
phrog_13493	NA
phrog_13494	NA
phrog_13495	NA
phrog_13496	thioredoxin domain
phrog_13497	NA
phrog_13498	NA
phrog_13499	NA
phrog_13500	NA
phrog_13501	NA
phrog_13502	NA
phrog_13503	NA
phrog_13504	NA
phrog_13505	methyltransferase
phrog_13506	NA
phrog_13507	NA
phrog_13508	NA
phrog_13509	NA
phrog_13510	NA
phrog_13511	NA
phrog_13512	transcriptional regulator
phrog_13513	NA
phrog_13514	NA
phrog_13515	phosphodiesterase
phrog_13516	NA
phrog_13517	NA
phrog_13518	NA
phrog_13519	NA
phrog_13520	NA
phrog_13521	NA
phrog_13522	NA
phrog_13523	NA
phrog_13524	NA
phrog_13525	NA
phrog_13526	NA
phrog_13527	NA
phrog_13528	NA
phrog_13529	NA
phrog_13530	NA
phrog_13531	NA
phrog_13532	NA
phrog_13533	NA
phrog_13534	NA
phrog_13535	NA
phrog_13536	NA
phrog_13537	NA
phrog_13538	NA
phrog_13539	NA
phrog_13540	NA
phrog_13541	NA
phrog_13542	NA
phrog_13543	NA
phrog_13544	NA
phrog_13545	NA
phrog_13546	NA
phrog_13547	NA
phrog_13548	NA
phrog_13549	NA
phrog_13550	NA
phrog_13551	NA
phrog_13552	NA
phrog_13553	NA
phrog_13554	NA
phrog_13555	NA
phrog_13556	NA
phrog_13557	NA
phrog_13558	NA
phrog_13559	NA
phrog_13560	NA
phrog_13561	NA
phrog_13562	NA
phrog_13563	NA
phrog_13564	minor tail protein
phrog_13565	tail protein
phrog_13566	NA
phrog_13567	NA
phrog_13568	NA
phrog_13569	NA
phrog_13570	NA
phrog_13571	virion structural protein
phrog_13572	tail protein with lysin activity
phrog_13573	NA
phrog_13574	NA
phrog_13575	NA
phrog_13576	methyltransferase
phrog_13577	NA
phrog_13578	dihydrofolate reductase
phrog_13579	NA
phrog_13580	NA
phrog_13581	NA
phrog_13582	NA
phrog_13583	NA
phrog_13584	NA
phrog_13585	NA
phrog_13586	NA
phrog_13587	NA
phrog_13588	NA
phrog_13589	NA
phrog_13590	kinase
phrog_13591	NA
phrog_13592	NA
phrog_13593	NA
phrog_13594	NA
phrog_13595	NA
phrog_13596	NA
phrog_13597	membrane protein
phrog_13598	NA
phrog_13599	NA
phrog_13600	NA
phrog_13601	NA
phrog_13602	NA
phrog_13603	NA
phrog_13604	NA
phrog_13605	NA
phrog_13606	NA
phrog_13607	NA
phrog_13608	NA
phrog_13609	NA
phrog_13610	NA
phrog_13611	NA
phrog_13612	NA
phrog_13613	NA
phrog_13614	NA
phrog_13615	NA
phrog_13616	NA
phrog_13617	NA
phrog_13618	NA
phrog_13619	NA
phrog_13620	NA
phrog_13621	NA
phrog_13622	NA
phrog_13623	NA
phrog_13624	hydrolase
phrog_13625	NA
phrog_13626	NA
phrog_13627	NA
phrog_13628	NA
phrog_13629	NA
phrog_13630	NA
phrog_13631	NA
phrog_13632	NA
phrog_13633	NA
phrog_13634	NA
phrog_13635	NA
phrog_13636	NA
phrog_13637	NA
phrog_13638	NA
phrog_13639	NA
phrog_13640	NA
phrog_13641	NA
phrog_13642	NA
phrog_13643	helicase
phrog_13644	NA
phrog_13645	NA
phrog_13646	NA
phrog_13647	NA
phrog_13648	NA
phrog_13649	NA
phrog_13650	NA
phrog_13651	NA
phrog_13652	NA
phrog_13653	NA
phrog_13654	NA
phrog_13655	NA
phrog_13656	NA
phrog_13657	NA
phrog_13658	NA
phrog_13659	NA
phrog_13660	NA
phrog_13661	NA
phrog_13662	NA
phrog_13663	NA
phrog_13664	NA
phrog_13665	NA
phrog_13666	NA
phrog_13667	NA
phrog_13668	NA
phrog_13669	NA
phrog_13670	NA
phrog_13671	DNA methyltransferase
phrog_13672	NA
phrog_13673	NA
phrog_13674	tail length tape measure protein
phrog_13675	NA
phrog_13676	head closure
phrog_13677	NA
phrog_13678	NA
phrog_13679	NA
phrog_13680	NA
phrog_13681	NA
phrog_13682	holin
phrog_13683	NA
phrog_13684	NA
phrog_13685	NA
phrog_13686	NA
phrog_13687	transcriptional regulator
phrog_13688	NA
phrog_13689	NA
phrog_13690	NA
phrog_13691	NA
phrog_13692	NA
phrog_13693	NA
phrog_13694	NA
phrog_13695	NA
phrog_13696	NA
phrog_13697	NA
phrog_13698	NA
phrog_13699	membrane protein
phrog_13700	FtsK/SpoIIIE-like protein
phrog_13701	NA
phrog_13702	terminase large subunit
phrog_13703	NA
phrog_13704	virion structural protein
phrog_13705	NA
phrog_13706	NA
phrog_13707	NA
phrog_13708	NA
phrog_13709	NA
phrog_13710	NA
phrog_13711	NA
phrog_13712	holin
phrog_13713	NA
phrog_13714	tail fiber protein
phrog_13715	NA
phrog_13716	NA
phrog_13717	NA
phrog_13718	NA
phrog_13719	NA
phrog_13720	NA
phrog_13721	NA
phrog_13722	NA
phrog_13723	NA
phrog_13724	NA
phrog_13725	NA
phrog_13726	NA
phrog_13727	NA
phrog_13728	acetyltransferase
phrog_13729	NA
phrog_13730	transcriptional repressor
phrog_13731	NA
phrog_13732	NA
phrog_13733	NA
phrog_13734	NA
phrog_13735	NA
phrog_13736	NA
phrog_13737	NA
phrog_13738	membrane protein
phrog_13739	NA
phrog_13740	NA
phrog_13741	NA
phrog_13742	peptidase
phrog_13743	NA
phrog_13744	NA
phrog_13745	Ig domain containing protein
phrog_13746	NA
phrog_13747	NA
phrog_13748	NA
phrog_13749	NA
phrog_13750	NA
phrog_13751	helicase
phrog_13752	NA
phrog_13753	NA
phrog_13754	NA
phrog_13755	NA
phrog_13756	NA
phrog_13757	NA
phrog_13758	tail fiber protein
phrog_13759	NA
phrog_13760	NA
phrog_13761	NA
phrog_13762	NA
phrog_13763	NA
phrog_13764	virion structural protein
phrog_13765	NA
phrog_13766	NA
phrog_13767	NA
phrog_13768	tail protein
phrog_13769	NA
phrog_13770	NA
phrog_13771	NA
phrog_13772	NA
phrog_13773	NA
phrog_13774	NA
phrog_13775	NA
phrog_13776	NA
phrog_13777	NA
phrog_13778	ABC transporter
phrog_13779	NA
phrog_13780	NA
phrog_13781	tail spike protein
phrog_13782	NA
phrog_13783	NA
phrog_13784	NA
phrog_13785	NA
phrog_13786	transcriptional regulator
phrog_13787	NA
phrog_13788	NA
phrog_13789	NA
phrog_13790	DNA ligase
phrog_13791	NA
phrog_13792	NA
phrog_13793	NA
phrog_13794	NA
phrog_13795	NA
phrog_13796	NA
phrog_13797	NA
phrog_13798	NA
phrog_13799	NA
phrog_13800	membrane protein
phrog_13801	NA
phrog_13802	NA
phrog_13803	NA
phrog_13804	NA
phrog_13805	NA
phrog_13806	NA
phrog_13807	NA
phrog_13808	NA
phrog_13809	NA
phrog_13810	NA
phrog_13811	NA
phrog_13812	NA
phrog_13813	NA
phrog_13814	transcriptional regulator
phrog_13815	NA
phrog_13816	NA
phrog_13817	NA
phrog_13818	NA
phrog_13819	gpCom control of modification
phrog_13820	NA
phrog_13821	NA
phrog_13822	NA
phrog_13823	NA
phrog_13824	NA
phrog_13825	NA
phrog_13826	NA
phrog_13827	NA
phrog_13828	NA
phrog_13829	NA
phrog_13830	NA
phrog_13831	NA
phrog_13832	NA
phrog_13833	membrane protein
phrog_13834	NA
phrog_13835	NA
phrog_13836	NA
phrog_13837	NA
phrog_13838	ATP-dependent protease
phrog_13839	DNA polymerase
phrog_13840	NA
phrog_13841	transcriptional regulator
phrog_13842	NA
phrog_13843	NA
phrog_13844	NA
phrog_13845	NA
phrog_13846	NA
phrog_13847	NA
phrog_13848	NA
phrog_13849	NA
phrog_13850	NA
phrog_13851	NA
phrog_13852	NA
phrog_13853	NA
phrog_13854	NA
phrog_13855	NA
phrog_13856	NA
phrog_13857	tail protein
phrog_13858	NA
phrog_13859	NA
phrog_13860	NA
phrog_13861	NA
phrog_13862	endonuclease
phrog_13863	NA
phrog_13864	NA
phrog_13865	NA
phrog_13866	NA
phrog_13867	NA
phrog_13868	NA
phrog_13869	NA
phrog_13870	baseplate protein
phrog_13871	NA
phrog_13872	NA
phrog_13873	NA
phrog_13874	NA
phrog_13875	NA
phrog_13876	NA
phrog_13877	NA
phrog_13878	NA
phrog_13879	NA
phrog_13880	transcriptional regulator
phrog_13881	NA
phrog_13882	NA
phrog_13883	NA
phrog_13884	NA
phrog_13885	NA
phrog_13886	NA
phrog_13887	NA
phrog_13888	NA
phrog_13889	NA
phrog_13890	NA
phrog_13891	NA
phrog_13892	minor tail protein
phrog_13893	tail protein
phrog_13894	NA
phrog_13895	transcriptional regulator
phrog_13896	NA
phrog_13897	NA
phrog_13898	NA
phrog_13899	NA
phrog_13900	minor head protein
phrog_13901	DNA primase/helicase
phrog_13902	NA
phrog_13903	virion structural protein
phrog_13904	NA
phrog_13905	NA
phrog_13906	NA
phrog_13907	NA
phrog_13908	NA
phrog_13909	NA
phrog_13910	NA
phrog_13911	virion structural protein
phrog_13912	minor tail protein
phrog_13913	NA
phrog_13914	NA
phrog_13915	NA
phrog_13916	DNA ligase
phrog_13917	NA
phrog_13918	NA
phrog_13919	NA
phrog_13920	NA
phrog_13921	NA
phrog_13922	NA
phrog_13923	NA
phrog_13924	NA
phrog_13925	NA
phrog_13926	NA
phrog_13927	NA
phrog_13928	NA
phrog_13929	NA
phrog_13930	NA
phrog_13931	NA
phrog_13932	co-chaperonin GroES
phrog_13933	nuclease
phrog_13934	NA
phrog_13935	NA
phrog_13936	NA
phrog_13937	NA
phrog_13938	NA
phrog_13939	NA
phrog_13940	NA
phrog_13941	NA
phrog_13942	NA
phrog_13943	NA
phrog_13944	NA
phrog_13945	NA
phrog_13946	NA
phrog_13947	NA
phrog_13948	NA
phrog_13949	NA
phrog_13950	NA
phrog_13951	NA
phrog_13952	NA
phrog_13953	NA
phrog_13954	NA
phrog_13955	NA
phrog_13956	NA
phrog_13957	NA
phrog_13958	NA
phrog_13959	NA
phrog_13960	NA
phrog_13961	NA
phrog_13962	NA
phrog_13963	NA
phrog_13964	transposase
phrog_13965	NA
phrog_13966	NA
phrog_13967	NA
phrog_13968	transcriptional regulator
phrog_13969	NA
phrog_13970	NA
phrog_13971	NA
phrog_13972	DNA ligase
phrog_13973	NA
phrog_13974	membrane protein
phrog_13975	NA
phrog_13976	NA
phrog_13977	virion structural protein
phrog_13978	NA
phrog_13979	NA
phrog_13980	tail fiber protein
phrog_13981	NA
phrog_13982	NA
phrog_13983	NA
phrog_13984	NA
phrog_13985	NA
phrog_13986	NA
phrog_13987	radical SAM domain-containing protein
phrog_13988	NA
phrog_13989	virion structural protein
phrog_13990	NA
phrog_13991	NA
phrog_13992	NA
phrog_13993	NA
phrog_13994	NA
phrog_13995	NA
phrog_13996	NA
phrog_13997	NA
phrog_13998	NA
phrog_13999	NA
phrog_14000	NA
phrog_14001	NA
phrog_14002	NA
phrog_14003	NA
phrog_14004	NA
phrog_14005	NA
phrog_14006	NA
phrog_14007	NA
phrog_14008	NA
phrog_14009	NA
phrog_14010	NA
phrog_14011	NA
phrog_14012	NA
phrog_14013	NA
phrog_14014	NA
phrog_14015	NA
phrog_14016	NA
phrog_14017	NA
phrog_14018	major tail protein
phrog_14019	NA
phrog_14020	NA
phrog_14021	NA
phrog_14022	NA
phrog_14023	NA
phrog_14024	NA
phrog_14025	NA
phrog_14026	NA
phrog_14027	NA
phrog_14028	NA
phrog_14029	NA
phrog_14030	NA
phrog_14031	NA
phrog_14032	NA
phrog_14033	NA
phrog_14034	NA
phrog_14035	NA
phrog_14036	NA
phrog_14037	NA
phrog_14038	NA
phrog_14039	NA
phrog_14040	NA
phrog_14041	NA
phrog_14042	NA
phrog_14043	DNA primase
phrog_14044	NA
phrog_14045	NA
phrog_14046	NA
phrog_14047	NA
phrog_14048	endolysin
phrog_14049	NA
phrog_14050	NA
phrog_14051	NA
phrog_14052	NA
phrog_14053	NA
phrog_14054	NA
phrog_14055	NA
phrog_14056	NA
phrog_14057	NA
phrog_14058	NA
phrog_14059	NA
phrog_14060	NA
phrog_14061	NA
phrog_14062	NA
phrog_14063	head scaffolding protein
phrog_14064	tail fiber protein
phrog_14065	NA
phrog_14066	virion structural protein
phrog_14067	NA
phrog_14068	NA
phrog_14069	NA
phrog_14070	NA
phrog_14071	NA
phrog_14072	NA
phrog_14073	NA
phrog_14074	virion structural protein
phrog_14075	NA
phrog_14076	transcriptional regulator
phrog_14077	NA
phrog_14078	NA
phrog_14079	NA
phrog_14080	NA
phrog_14081	NA
phrog_14082	NA
phrog_14083	NA
phrog_14084	NA
phrog_14085	NA
phrog_14086	radical SAM domain-containing protein
phrog_14087	NA
phrog_14088	NA
phrog_14089	NA
phrog_14090	NA
phrog_14091	NA
phrog_14092	NA
phrog_14093	NA
phrog_14094	NA
phrog_14095	NA
phrog_14096	NA
phrog_14097	HNH endonuclease
phrog_14098	tail protein
phrog_14099	NA
phrog_14100	NA
phrog_14101	transcriptional regulator
phrog_14102	NA
phrog_14103	NA
phrog_14104	NA
phrog_14105	NA
phrog_14106	NA
phrog_14107	NA
phrog_14108	NA
phrog_14109	NA
phrog_14110	NA
phrog_14111	NA
phrog_14112	NA
phrog_14113	NA
phrog_14114	head scaffolding protein
phrog_14115	NA
phrog_14116	NA
phrog_14117	virion structural protein
phrog_14118	NA
phrog_14119	NA
phrog_14120	NA
phrog_14121	virion structural protein
phrog_14122	NA
phrog_14123	NA
phrog_14124	NA
phrog_14125	NA
phrog_14126	NA
phrog_14127	NA
phrog_14128	NA
phrog_14129	NA
phrog_14130	NA
phrog_14131	DNA binding protein
phrog_14132	NA
phrog_14133	NA
phrog_14134	NA
phrog_14135	NA
phrog_14136	NA
phrog_14137	NA
phrog_14138	minor tail protein
phrog_14139	NA
phrog_14140	NA
phrog_14141	NA
phrog_14142	NA
phrog_14143	NA
phrog_14144	NA
phrog_14145	NA
phrog_14146	NA
phrog_14147	transcriptional regulator
phrog_14148	NA
phrog_14149	NA
phrog_14150	NA
phrog_14151	NA
phrog_14152	NA
phrog_14153	NA
phrog_14154	virion structural protein
phrog_14155	NA
phrog_14156	NA
phrog_14157	NA
phrog_14158	NA
phrog_14159	NA
phrog_14160	NA
phrog_14161	recombinase
phrog_14162	NA
phrog_14163	NA
phrog_14164	NA
phrog_14165	NA
phrog_14166	NA
phrog_14167	NA
phrog_14168	nuclease
phrog_14169	zinc-finger domain protein
phrog_14170	NA
phrog_14171	NA
phrog_14172	NA
phrog_14173	NA
phrog_14174	NA
phrog_14175	NA
phrog_14176	polymerase
phrog_14177	NA
phrog_14178	NA
phrog_14179	glycosyltransferase
phrog_14180	NA
phrog_14181	NA
phrog_14182	esterase
phrog_14183	NA
phrog_14184	NA
phrog_14185	NA
phrog_14186	NA
phrog_14187	NA
phrog_14188	NA
phrog_14189	NA
phrog_14190	NA
phrog_14191	NA
phrog_14192	NA
phrog_14193	NA
phrog_14194	NA
phrog_14195	NA
phrog_14196	phosphohydrolase
phrog_14197	membrane protein
phrog_14198	exonuclease
phrog_14199	NA
phrog_14200	NA
phrog_14201	NA
phrog_14202	NA
phrog_14203	NA
phrog_14204	NA
phrog_14205	NA
phrog_14206	NA
phrog_14207	DNA helicase
phrog_14208	NA
phrog_14209	NA
phrog_14210	NA
phrog_14211	anti-repressor
phrog_14212	NA
phrog_14213	NA
phrog_14214	NA
phrog_14215	NA
phrog_14216	NA
phrog_14217	prohead
phrog_14218	NA
phrog_14219	NA
phrog_14220	NA
phrog_14221	NA
phrog_14222	NA
phrog_14223	NA
phrog_14224	NA
phrog_14225	NA
phrog_14226	NA
phrog_14227	NA
phrog_14228	NA
phrog_14229	NA
phrog_14230	NA
phrog_14231	NA
phrog_14232	NA
phrog_14233	NA
phrog_14234	NA
phrog_14235	NA
phrog_14236	tail fiber protein
phrog_14237	NA
phrog_14238	RusA-like Holliday junction resolvase
phrog_14239	NA
phrog_14240	NA
phrog_14241	NA
phrog_14242	major head protein
phrog_14243	NA
phrog_14244	NA
phrog_14245	NA
phrog_14246	NA
phrog_14247	NA
phrog_14248	NA
phrog_14249	NA
phrog_14250	NA
phrog_14251	NA
phrog_14252	NA
phrog_14253	NA
phrog_14254	NA
phrog_14255	NA
phrog_14256	NA
phrog_14257	NA
phrog_14258	NA
phrog_14259	NA
phrog_14260	tail protein
phrog_14261	membrane protein
phrog_14262	NA
phrog_14263	NA
phrog_14264	NA
phrog_14265	NA
phrog_14266	NA
phrog_14267	NA
phrog_14268	tail assembly chaperone
phrog_14269	NA
phrog_14270	NA
phrog_14271	NA
phrog_14272	NA
phrog_14273	NA
phrog_14274	NA
phrog_14275	NA
phrog_14276	NA
phrog_14277	NA
phrog_14278	membrane protein
phrog_14279	NA
phrog_14280	NA
phrog_14281	NA
phrog_14282	Hoc-like head decoration
phrog_14283	NA
phrog_14284	NA
phrog_14285	NA
phrog_14286	NA
phrog_14287	NA
phrog_14288	NA
phrog_14289	virion structural protein
phrog_14290	NA
phrog_14291	NA
phrog_14292	NA
phrog_14293	NA
phrog_14294	NA
phrog_14295	NA
phrog_14296	DNA primase
phrog_14297	NA
phrog_14298	NA
phrog_14299	NA
phrog_14300	NA
phrog_14301	RNA ligase
phrog_14302	NA
phrog_14303	NA
phrog_14304	transcriptional regulator WhiB-like
phrog_14305	NA
phrog_14306	NA
phrog_14307	NA
phrog_14308	NA
phrog_14309	NA
phrog_14310	NA
phrog_14311	NA
phrog_14312	NA
phrog_14313	NA
phrog_14314	HNH endonuclease
phrog_14315	NA
phrog_14316	NA
phrog_14317	NA
phrog_14318	NA
phrog_14319	NA
phrog_14320	NA
phrog_14321	anti-restriction protein
phrog_14322	NA
phrog_14323	NA
phrog_14324	NA
phrog_14325	NA
phrog_14326	RNA ligase
phrog_14327	NA
phrog_14328	NA
phrog_14329	NA
phrog_14330	NA
phrog_14331	NA
phrog_14332	NA
phrog_14333	NA
phrog_14334	NA
phrog_14335	NA
phrog_14336	NA
phrog_14337	NA
phrog_14338	NA
phrog_14339	NA
phrog_14340	NA
phrog_14341	transcriptional repressor
phrog_14342	lytic tail fiber protein
phrog_14343	NA
phrog_14344	nucleotidyltransferase
phrog_14345	NA
phrog_14346	NA
phrog_14347	NA
phrog_14348	NA
phrog_14349	membrane protein
phrog_14350	NA
phrog_14351	NA
phrog_14352	NA
phrog_14353	NA
phrog_14354	NA
phrog_14355	NA
phrog_14356	NA
phrog_14357	NA
phrog_14358	NA
phrog_14359	NA
phrog_14360	NA
phrog_14361	NA
phrog_14362	NA
phrog_14363	NA
phrog_14364	NA
phrog_14365	NA
phrog_14366	NA
phrog_14367	NA
phrog_14368	NA
phrog_14369	NA
phrog_14370	NA
phrog_14371	NA
phrog_14372	NA
phrog_14373	NA
phrog_14374	NA
phrog_14375	NA
phrog_14376	NA
phrog_14377	NA
phrog_14378	NA
phrog_14379	NA
phrog_14380	NA
phrog_14381	NA
phrog_14382	NA
phrog_14383	NA
phrog_14384	NA
phrog_14385	NA
phrog_14386	NA
phrog_14387	HTH DNA binding protein
phrog_14388	membrane protein
phrog_14389	NA
phrog_14390	NA
phrog_14391	major head protein
phrog_14392	NA
phrog_14393	hydrolase
phrog_14394	virion structural protein
phrog_14395	NA
phrog_14396	NA
phrog_14397	NA
phrog_14398	NA
phrog_14399	NA
phrog_14400	NA
phrog_14401	NA
phrog_14402	NA
phrog_14403	NA
phrog_14404	baseplate protein
phrog_14405	NA
phrog_14406	NA
phrog_14407	NA
phrog_14408	NA
phrog_14409	NA
phrog_14410	NA
phrog_14411	NA
phrog_14412	NA
phrog_14413	NA
phrog_14414	NA
phrog_14415	NA
phrog_14416	NA
phrog_14417	tail fiber protein; host specificity
phrog_14418	NA
phrog_14419	NA
phrog_14420	NA
phrog_14421	NA
phrog_14422	NA
phrog_14423	NA
phrog_14424	NA
phrog_14425	NA
phrog_14426	NA
phrog_14427	NA
phrog_14428	NA
phrog_14429	hydrolase
phrog_14430	NA
phrog_14431	NA
phrog_14432	NA
phrog_14433	NA
phrog_14434	NA
phrog_14435	NA
phrog_14436	NA
phrog_14437	endonuclease
phrog_14438	NA
phrog_14439	NA
phrog_14440	virion structural protein
phrog_14441	tail length tape measure protein
phrog_14442	tail protein
phrog_14443	NA
phrog_14444	NA
phrog_14445	NA
phrog_14446	NA
phrog_14447	NA
phrog_14448	NA
phrog_14449	transposase
phrog_14450	NA
phrog_14451	NA
phrog_14452	NA
phrog_14453	holin
phrog_14454	NA
phrog_14455	NA
phrog_14456	NA
phrog_14457	NA
phrog_14458	tail fiber protein
phrog_14459	transcriptional regulator WhiB-like
phrog_14460	NA
phrog_14461	NA
phrog_14462	NA
phrog_14463	NA
phrog_14464	membrane protein
phrog_14465	anti-termination protein Q-like
phrog_14466	NA
phrog_14467	virion structural protein
phrog_14468	NA
phrog_14469	tail fiber protein
phrog_14470	NA
phrog_14471	NA
phrog_14472	NA
phrog_14473	NA
phrog_14474	transcriptional regulator
phrog_14475	NA
phrog_14476	virion structural protein
phrog_14477	helicase
phrog_14478	virion structural protein
phrog_14479	NA
phrog_14480	NA
phrog_14481	virion structural protein
phrog_14482	NA
phrog_14483	NA
phrog_14484	virion structural protein
phrog_14485	NA
phrog_14486	NA
phrog_14487	NA
phrog_14488	DNA methyltransferase
phrog_14489	NA
phrog_14490	NA
phrog_14491	NA
phrog_14492	NA
phrog_14493	NA
phrog_14494	NA
phrog_14495	NA
phrog_14496	endolysin
phrog_14497	NA
phrog_14498	NA
phrog_14499	membrane protein
phrog_14500	NA
phrog_14501	virion structural protein
phrog_14502	NA
phrog_14503	membrane associated protein
phrog_14504	NA
phrog_14505	NA
phrog_14506	NA
phrog_14507	NA
phrog_14508	NA
phrog_14509	NA
phrog_14510	NA
phrog_14511	NA
phrog_14512	membrane protein
phrog_14513	NA
phrog_14514	NA
phrog_14515	HNH endonuclease
phrog_14516	NA
phrog_14517	NA
phrog_14518	NA
phrog_14519	glutamine amidotransferase
phrog_14520	virion structural protein
phrog_14521	NA
phrog_14522	NA
phrog_14523	NA
phrog_14524	NA
phrog_14525	NA
phrog_14526	NA
phrog_14527	NA
phrog_14528	NA
phrog_14529	NA
phrog_14530	NA
phrog_14531	NA
phrog_14532	NA
phrog_14533	NA
phrog_14534	NA
phrog_14535	NA
phrog_14536	NA
phrog_14537	NA
phrog_14538	NA
phrog_14539	NA
phrog_14540	NA
phrog_14541	virion structural protein
phrog_14542	NA
phrog_14543	virion structural protein
phrog_14544	NA
phrog_14545	NA
phrog_14546	NA
phrog_14547	NA
phrog_14548	NA
phrog_14549	NA
phrog_14550	NA
phrog_14551	NA
phrog_14552	NA
phrog_14553	NA
phrog_14554	NA
phrog_14555	NA
phrog_14556	NA
phrog_14557	NA
phrog_14558	tail spike protein
phrog_14559	NA
phrog_14560	NA
phrog_14561	NA
phrog_14562	NA
phrog_14563	NA
phrog_14564	NA
phrog_14565	NA
phrog_14566	NA
phrog_14567	NA
phrog_14568	NA
phrog_14569	virion structural protein
phrog_14570	NA
phrog_14571	NA
phrog_14572	tail fiber protein
phrog_14573	NA
phrog_14574	NA
phrog_14575	NA
phrog_14576	NA
phrog_14577	NA
phrog_14578	single strand DNA binding protein
phrog_14579	NA
phrog_14580	NA
phrog_14581	NA
phrog_14582	NA
phrog_14583	NA
phrog_14584	NA
phrog_14585	NA
phrog_14586	NA
phrog_14587	anti-restriction protein
phrog_14588	NA
phrog_14589	NA
phrog_14590	NA
phrog_14591	NA
phrog_14592	virion structural protein
phrog_14593	NA
phrog_14594	NA
phrog_14595	NA
phrog_14596	NA
phrog_14597	NA
phrog_14598	NA
phrog_14599	NA
phrog_14600	NA
phrog_14601	NA
phrog_14602	NA
phrog_14603	NA
phrog_14604	NA
phrog_14605	NA
phrog_14606	NA
phrog_14607	holin/anti-holin
phrog_14608	NA
phrog_14609	NA
phrog_14610	NA
phrog_14611	NA
phrog_14612	NA
phrog_14613	NA
phrog_14614	endolysin
phrog_14615	NA
phrog_14616	NA
phrog_14617	NA
phrog_14618	NA
phrog_14619	DNA helicase
phrog_14620	NA
phrog_14621	NA
phrog_14622	NA
phrog_14623	NA
phrog_14624	NA
phrog_14625	NA
phrog_14626	NA
phrog_14627	NA
phrog_14628	NA
phrog_14629	NA
phrog_14630	NA
phrog_14631	NA
phrog_14632	DNA polymerase
phrog_14633	NA
phrog_14634	DNA binding protein
phrog_14635	NA
phrog_14636	NA
phrog_14637	NA
phrog_14638	NA
phrog_14639	cro-like repressor
phrog_14640	NA
phrog_14641	NA
phrog_14642	endolysin
phrog_14643	NA
phrog_14644	tail protein
phrog_14645	NA
phrog_14646	NA
phrog_14647	NA
phrog_14648	NA
phrog_14649	NA
phrog_14650	NA
phrog_14651	NA
phrog_14652	DNA binding protein
phrog_14653	NA
phrog_14654	NA
phrog_14655	NA
phrog_14656	NA
phrog_14657	NA
phrog_14658	NA
phrog_14659	NA
phrog_14660	NA
phrog_14661	membrane protein
phrog_14662	NA
phrog_14663	NA
phrog_14664	NA
phrog_14665	NA
phrog_14666	NA
phrog_14667	NA
phrog_14668	NA
phrog_14669	NA
phrog_14670	NA
phrog_14671	NA
phrog_14672	NA
phrog_14673	NA
phrog_14674	NA
phrog_14675	NA
phrog_14676	NA
phrog_14677	NA
phrog_14678	NA
